incorrect,incomplete,inconsistent
1,0,1
1,1,1
1,0,1
1,0,1
1,0,1
0,1,0
0,1,0
0,1,0
0,1,1
1,1,1
0,0,0
0,1,1
0,1,0
0,1,1
1,0,1
0,0,0
1,0,0
1,1,1
1,0,1
0,1,1
1,1,1
1,0,1
0,1,1
1,0,1
1,1,1
1,1,1
0,1,1
0,1,0
0,0,0
0,0,1
0,0,0
0,1,1
1,0,0
0,1,1
0,0,1
1,1,1
0,1,0
0,1,0
1,0,1
0,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,1,1
0,1,1
1,0,1
1,1,0
1,0,1
0,1,1
0,1,1
1,0,1
0,1,0
0,1,1
0,1,0
0,1,1
1,1,1
0,1,0
0,1,0
0,1,0
1,0,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,1
0,0,0
0,0,0
1,0,1
0,1,1
1,0,1
1,0,1
0,1,1
1,1,1
1,0,0
0,0,0
error
1,0,1
0,0,0
1,0,1
0,1,0
0,0,1
0,1,1
0,1,1
1,0,1
0,1,1
0,1,1
0,1,0
0,1,0
error
1,1,1
0,1,0
0,0,1
1,0,1
1,0,0
0,1,1
0,0,0
error
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
0,1,1
0,1,1
1,0,1
1,0,1
0,1,1
0,0,1
0,0,0
1,0,1
1,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,0
0,1,1
0,1,0
1,0,1
1,1,1
0,1,1
0,1,1
0,0,0
0,1,1
0,0,0
1,1,0
0,0,0
0,1,0
1,0,1
1,0,1
0,1,0
0,1,1
error
0,1,0
1,0,1
1,1,1
error
0,1,1
0,0,0
error
1,0,1
0,0,0
0,0,0
1,1,1
0,0,0
0,0,0
0,0,1
0,0,1
0,1,0
0,0,0
1,0,1
0,1,0
1,0,1
1,0,1
0,0,0
0,1,0
1,1,1
1,1,1
0,1,1
0,1,0
0,1,1
1,1,0
1,0,1
1,1,1
1,0,1
1,0,0
1,1,1
0,0,1
0,1,1
0,0,0
0,1,0
0,1,1
0,1,0
0,1,1
0,1,1
0,0,1
0,1,1
1,0,1
0,0,0
0,0,1
0,0,1
0,1,0
0,1,0
0,0,0
0,1,1
0,0,1
0,0,1
0,1,1
0,1,0
1,1,1
0,1,0
0,1,1
0,1,0
1,0,1
0,1,1
0,0,1
0,0,1
0,0,1
0,1,0
0,1,1
0,1,1
0,1,1
1,1,1
1,0,1
0,1,1
1,0,1
error
0,0,1
1,1,1
0,1,1
1,0,1
0,0,0
1,1,0
0,1,1
1,0,1
1,0,1
0,0,1
1,0,1
0,1,0
1,1,1
0,1,1
1,0,1
0,1,0
1,0,1
0,0,1
1,0,1
1,1,1
0,1,0
0,1,1
0,0,0
1,0,1
0,1,1
0,1,0
0,1,0
0,1,1
0,1,0
0,1,1
0,1,0
1,0,0
0,1,1
0,0,1
1,1,1
0,1,0
0,0,0
1,0,1
0,1,1
0,1,1